"year","JanFeb_ice","MarApr_ice"
1953,0.902644338517231,1.47554892064989
1954,1.04756518810823,0.285984622627002
1955,0.598179829656237,0.486902084750911
1956,0.918231857642863,1.50717369441352
1957,0.671211111780732,0.700368415117574
1958,0.860461927999714,-0.474950034750885
1959,-0.334134025085712,0.290891252451703
1960,0.463474653113969,0.312772348256259
1961,0.253598019348578,1.00141438433109
1962,-0.938352081120005,-0.20442390379618
1963,0.00555976621381721,0.812296470533221
1964,0.471864783368095,0.740475789068557
1965,0.591771930572805,0.172373581168447
1966,-0.443212023241899,-0.386626888228391
1967,-0.0605004503986911,-1.19841142013472
1968,0.0149948623107868,-0.116113342113264
1969,-0.493612446734585,0.280646737336232
1970,0.389948992880207,0.296331675266132
1971,1.33103640074328,1.99556929956462
1972,0.13460390170722,1.11032704655283
1973,0.2020867891163,1.05086552925445
1974,0.412949620903121,0.905912520823074
1975,1.20148453096094,1.78655819516393
1976,1.77147133539126,2.03119845823429
1977,0.978463346411109,0.732530389573765
1978,-0.353370854259689,-0.280581629681241
1979,-1.87574495402572,-1.4663879976576
1980,0.58366985913649,0.0244718389756895
1981,0.420977208962306,-0.638867429171023
1982,-0.69185182598032,-0.890867651902043
1983,0.320173056352577,-0.134513143412563
1984,-0.500425531626981,0.667905501286323
1985,-2.02399608855676,-0.00542044828488919
1986,-0.728611131051631,-0.186460847862684
1987,-0.704003865014367,-0.591198869318378
1988,-0.489334673784807,0.581422802685164
1989,-0.444442076332657,-1.71567713227188
1990,0.529027151026433,0.131549675089574
1991,0.857382783880656,0.566740397745548
1992,0.313514941870935,0.875316943064074
1993,-0.0385898325164973,-0.217161225392888
1994,-0.432017720673558,0.549936486059635
1995,0.970721807503718,0.773896221211438
1996,-0.537674051263079,-1.26867466261188
1997,0.0521180432503312,0.0605944901758161
1998,1.18299096913955,-0.29011615561638
1999,0.273257409586275,0.480160703486627
2000,1.00781666891004,-0.509366968507239
2001,-1.90638157847796,-1.26424831224999
2002,1.56132847285322,-0.839079259822278
2003,-0.600412063412639,-0.855854505830278
2004,-0.610805272082962,-0.561972833761113
2005,-1.02333943391281,-0.560301571857908
2006,1.04011890845309,-0.351065320978141
2007,-0.0307848102668439,0.0609371039292758
2008,0.296119448870135,1.23329925881764
2009,1.20204643515056,0.410360359415687
2010,0.646709679903993,1.04626584514208
2011,-0.155177034671886,-0.511836418737315
2012,1.25478331726287,1.35093193253911
2013,0.763546098902484,0.819435214353761
2014,-0.850113059077829,-0.693306778104134
2015,-1.5190682081847,-0.723598397774164
2016,-1.57866935987495,-1.02062347250204
2017,-1.45819087389496,-0.878134538288394
2018,-2.23211581888983,-2.61545973835477
2019,-1.66339397806839,-2.74538353223588
2020,-0.442367358097982,-1.07994199610557
2021,-0.871269601931814,-0.932684088022697
2022,0.371959895116201,-0.482784228473897
2023,-0.320843878090046,-0.623166207395716
2024,-0.517059382275814,-0.294105237906506
